reaction_id,section,step,reaction_class,named_reaction,reaction_smiles,resolved/total,reactants,reactant_smiles,products,product_smiles,origins
Background_Step 1,Background,Step 1,nucleophilic_substitution,,OCC(F)(F)F.CC(C)(C)[O-].[K+]>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,3/3,"2,2,2-trifluoroethanol; potassium tert-butoxide",OCC(F)(F)F; CC(C)(C)[O-].[K+],"2-chloro-3-(2,2,2-trifluoroethoxymethyl)-4-(methylsulfonyl)benzoic acid",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,derived; name_parsed
Background_Step 2,Background,Step 2,nucleophilic_substitution,,,2/2,"2-chloro-3-(2,2,2-trifluoroethoxymethyl)-4-(methylsulfonyl)benzoic acid; thionyl chloride",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; O=S(Cl)Cl,,,derived; name_parsed
Background_Step 3,Background,Step 3,ester_formation,,,0/0,,,,,
Background_Step 4,Background,Step 4,other,,CC(C)(O)C#N>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,2/2,acetone cyanohydrin,CC(C)(O)C#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Example 1_Step a,Example 1,Step a,hydrolysis,Williamson ether synthesis,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl.[Na+].[O-]CC(F)(F)F.[Na+].[OH-].CN(C)C=O.O.Cl>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,7/7,"methyl 2-chloro-3-bromomethyl-4-(methylsulfonyl)benzoate; sodium 2,2,2-trifluoroethoxide; sodium hydroxide; N,N-dimethylformamide; water; hydrochloric acid",COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; [Na+].[O-]CC(F)(F)F; [Na+].[OH-]; CN(C)C=O; O; Cl,化合物II,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,derived; name_parsed; patent_drawing
Example 1_Step b,Example 1,Step b,acylation,,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F.O=C1CCCC(=O)C1.O=C(n1ccnc1)n1ccnc1.CCN(CC)CC.ClCCCl.O.CO>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,8/8,"化合物II; 1,3-cyclohexanedione; CDI; triethylamine; 1,2-dichloroethane; water; methanol",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; O=C1CCCC(=O)C1; O=C(n1ccnc1)n1ccnc1; CCN(CC)CC; ClCCCl; O; CO,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,curated; name_parsed; patent_drawing
Example 2_Step a,Example 2,Step a,nucleophilic_substitution,Williamson ether synthesis,[Na+].[O-]CC(F)(F)F.[K+].[OH-].COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl.CN(C)C=O.O.Cl>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,7/7,"sodium 2,2,2-trifluoroethoxide; potassium hydroxide; methyl 2-chloro-3-(bromomethyl)-4-(methylsulfonyl)benzoate; N,N-dimethylformamide; water; hydrochloric acid",[Na+].[O-]CC(F)(F)F; [K+].[OH-]; COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; CN(C)C=O; O; Cl,化合物II,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Example 2_Step b,Example 2,Step b,acylation,,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F.ClCCl.O=C1CCCC(=O)C1.CN(C)C(On1nnc2ccccc21)=[N+](C)C.F[P-](F)(F)(F)(F)F.O=C([O-])[O-].[Na+].[Na+].O.CO>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,8/8,"化合物II; dichloromethane; 1,3-cyclohexanedione; HBTU; sodium carbonate; water; methanol",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; ClCCl; O=C1CCCC(=O)C1; CN(C)C(On1nnc2ccccc21)=[N+](C)C.F[P-](F)(F)(F)(F)F; O=C([O-])[O-].[Na+].[Na+]; O; CO,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,curated; name_parsed; patent_drawing
Example 3_Step a,Example 3,Step a,nucleophilic_substitution,Williamson ether synthesis,[Na+].[O-]CC(F)(F)F.O=C([O-])[O-].[Na+].[Na+].COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl.CN(C)C=O.O.Cl>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,7/7,"sodium trifluoroethoxide; sodium carbonate; methyl 2-chloro-3-(bromomethyl)-4-(methylsulfonyl)benzoate; N,N-dimethylformamide; water; hydrochloric acid",[Na+].[O-]CC(F)(F)F; O=C([O-])[O-].[Na+].[Na+]; COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; CN(C)C=O; O; Cl,化合物II,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Example 3_Step b,Example 3,Step b,acylation,,,7/8,"化合物II; dichloroethane; 1,3-cyclohexanedione; HOBT; calcium hydroxide; water; methanol",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; ; O=C1CCCC(=O)C1; On1nnc2ccccc21; [Ca+2].[OH-].[OH-]; O; CO,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Example 4_Step a,Example 4,Step a,nucleophilic_substitution,Williamson ether synthesis,[Na+].[O-]CC(F)(F)F.O=C([O-])[O-].[K+].[K+].COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl.CN(C)C=O.O.Cl>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,7/7,"sodium 2,2,2-trifluoroethoxide; potassium carbonate; methyl 2-chloro-3-(bromomethyl)-4-(methylsulfonyl)benzoate; N,N-dimethylformamide; water; hydrochloric acid",[Na+].[O-]CC(F)(F)F; O=C([O-])[O-].[K+].[K+]; COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; CN(C)C=O; O; Cl,化合物II,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Example 4_Step b,Example 4,Step b,acylation,,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F.C1CCCCC1.O=C1CCCC(=O)C1.C1CCC2=NCCCN2CC1.c1ccncc1.O.CO>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,8/8,"化合物II; cyclohexane; 1,3-cyclohexanedione; DBU; pyridine; water; methanol",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; C1CCCCC1; O=C1CCCC(=O)C1; C1CCC2=NCCCN2CC1; c1ccncc1; O; CO,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,curated; name_parsed; patent_drawing
Example 5_Step a,Example 5,Step a,nucleophilic_substitution,Williamson ether synthesis,[Na+].[O-]CC(F)(F)F.[Li+].[OH-].COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl.CN(C)C=O.O.Cl>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,7/7,"sodium trifluoroethoxide; lithium hydroxide; methyl 2-chloro-3-bromomethyl-4-methylsulfonylbenzoate; N,N-dimethylformamide; water; hydrochloric acid",[Na+].[O-]CC(F)(F)F; [Li+].[OH-]; COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; CN(C)C=O; O; Cl,化合物II,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Example 5_Step b,Example 5,Step b,acylation,,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F.C1CCCCC1.O=C1CCCC(=O)C1.O=C(n1ccnc1)n1ccnc1.O=C([O-])[O-].[K+].[K+].O.CO>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,8/8,"化合物II; cyclohexane; 1,3-cyclohexanedione; CDI; potassium carbonate; water; methanol",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; C1CCCCC1; O=C1CCCC(=O)C1; O=C(n1ccnc1)n1ccnc1; O=C([O-])[O-].[K+].[K+]; O; CO,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,curated; name_parsed; patent_drawing
Summary of the Invention_Step 1,Summary of the Invention,Step 1,nucleophilic_substitution,Williamson ether synthesis,,3/4,methyl 2-chloro-3-bromomethyl-4-methylsulfonylbenzoate; sodium trifluoroethoxide; MOH/M2CO3,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; [Na+].[O-]CC(F)(F)F; ,2-chloro-3-trifluoroethoxymethyl-4-methylsulfonylbenzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Summary of the Invention_Step 2,Summary of the Invention,Step 2,acylation,,,3/5,"2-chloro-3-trifluoroethoxymethyl-4-methylsulfonylbenzoic acid; 1,3-cyclohexanedione; condensing agent; base catalyst",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; O=C1CCCC(=O)C1; ; ,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,none; patent_drawing
Summary of the Invention_Scheme Step 1,Summary of the Invention,Scheme Step 1,nucleophilic_substitution,Williamson ether synthesis,,5/6,methyl 2-chloro-3-bromomethyl-4-methylsulfonylbenzoate; sodium trifluoroethoxide; MOH/M2CO3; methanol; sodium bromide,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; [Na+].[O-]CC(F)(F)F; ; CO; [Br-].[Na+],2-chloro-3-trifluoroethoxymethyl-4-methylsulfonylbenzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Summary of the Invention_Scheme Step 2,Summary of the Invention,Scheme Step 2,acylation,,,4/6,"2-chloro-3-trifluoroethoxymethyl-4-methylsulfonylbenzoic acid; 1,3-cyclohexanedione; condensing agent; base catalyst; water",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; O=C1CCCC(=O)C1; ; ; O,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
