reaction_id,section,step,reaction_class,named_reaction,reaction_smiles,resolved/total,reactants,reactant_smiles,products,product_smiles,origins
Abstract_Step 1,Abstract,Step 1,halogenation,,,0/2,3-methylbenzoic acids,,3-bromomethylbenzoic acids of the formula II,,none
Background_Step 1,Background,Step 1,halogenation,,,0/5,methyl aromatics; azocarboxylic esters; azonitriles; oxidizing agent,; ; ; ,substituted benzyl bromides,,none
Background_Step 2,Background,Step 2,halogenation,,,3/4,methyl 2-chloro-3-methyl-4-methylsulfonylbenzoate; radical initiator; carbon tetrachloride,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl; ; ClC(Cl)(Cl)Cl,methyl 3-bromomethyl-2-chloro-4-methylsulfonylbenzoate,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,name_parsed; none
Background_Step 3,Background,Step 3,hydrolysis,,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1CBr,2/2,methyl 3-bromomethyl-2-chloro-4-methylsulfonylbenzoate,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,3-bromomethyl-2-chloro-4-methylsulfonylbenzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1CBr,name_parsed
Claims_Step 1,Claims,Step 1,halogenation,Wohl-Ziegler bromination,,6/8,3-methylbenzoic acid of formula I; N-bromosuccinimide; radical initiator; azoisobutyronitrile; dibenzoyl peroxide; chlorobenzene; acetonitrile,; O=C1CCC(=O)N1Br; ; CC(C)(C#N)N=NC(C)(C)C#N; O=C(OOC(=O)c1ccccc1)c1ccccc1; Clc1ccccc1; CC#N,3-bromomethylbenzoic acid of formula II,O=C(O)c1cccc(CBr)c1,curated; name_parsed; none
Claims_Step 2,Claims,Step 2,halogenation,,,4/5,3-methylbenzoic acid of formula I; bromine; chlorobenzene; methylene chloride,; [Br]; Clc1ccccc1; ClCCl,3-bromomethylbenzoic acid of formula II,O=C(O)c1cccc(CBr)c1,name_parsed; none
Example 1_Step 1,Example 1,Step 1,halogenation,Wohl-Ziegler bromination,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl.Clc1ccccc1.O=C1CCC(=O)N1Br.CC(C)(C#N)N=NC(C)(C)C#N.[Br].O=S([O-])O.[Na+].O>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1CBr,8/8,2-chloro-3-methyl-4-methylsulfonylbenzoic acid; chlorobenzene; N-bromosuccinimide; azoisobutyronitrile; bromine; sodium bisulfite; water,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl; Clc1ccccc1; O=C1CCC(=O)N1Br; CC(C)(C#N)N=NC(C)(C)C#N; [Br]; O=S([O-])O.[Na+]; O,3-bromomethyl-2-chloro-4-methylsulfonylbenzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1CBr,curated; name_parsed
Example 1_Step 2,Example 1,Step 2,halogenation,,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl.ClCCl.O.[Br]>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1CBr,5/5,2-chloro-3-methyl-4-methylsulfonylbenzoic acid; methylene chloride; water; bromine,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl; ClCCl; O; [Br],3-bromomethyl-2-chloro-4-methylsulfonylbenzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1CBr,name_parsed
Example 2_Step 1,Example 2,Step 1,halogenation,Wohl-Ziegler bromination,CCS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1C.CC#N.O=C1CCC(=O)N1Br.O=C(OOC(=O)c1ccccc1)c1ccccc1.O=S([O-])O.[Na+].CCOC(C)=O.CCOCC.CCCCCCC>>CCS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1CBr,9/9,2-chloro-3-methyl-4-ethylsulfonylbenzoic acid; acetonitrile; N-bromosuccinimide; dibenzoyl peroxide; sodium bisulfite; ethyl acetate; diethyl ether; heptane,CCS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1C; CC#N; O=C1CCC(=O)N1Br; O=C(OOC(=O)c1ccccc1)c1ccccc1; O=S([O-])O.[Na+]; CCOC(C)=O; CCOCC; CCCCCCC,3-bromomethyl-2-chloro-4-ethylsulfonylbenzoic acid,CCS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1CBr,name_parsed
Process Conditions_Step 1,Process Conditions,Step 1,halogenation,Wohl-Ziegler bromination,,7/10,compound of the formula I; N-bromosuccinimide; radical initiator; bromine; chlorobenzene; acetonitrile; sodium bisulfate; ethyl acetate; butyl acetate,; O=C1CCC(=O)N1Br; ; [Br]; Clc1ccccc1; CC#N; O=S(=O)([O-])O.[Na+]; CCOC(C)=O; CCCCOC(C)=O,compound of the formula II,,name_parsed; none
