reaction_id,section,step,reaction_class,named_reaction,reaction_smiles,resolved/total,reactants,reactant_smiles,products,product_smiles,origins
Background_Scheme A Step 1,Background,Scheme A Step 1,nucleophilic_substitution,,,2/3,dichlorotoluene; CH3SNa,Cc1c(Cl)cccc1Cl; ,1-chloro-2-methyl-3-(methylsulfanyl)benzene,CSc1cccc(Cl)c1C,none; patent_drawing
Background_Scheme A Step 2,Background,Scheme A Step 2,acylation,Friedel-Crafts acylation,CSc1cccc(Cl)c1C.CC(=O)Cl.[Cl][Al]([Cl])[Cl]>>CSc1ccc(C(C)=O)c(Cl)c1C,4/4,1-chloro-2-methyl-3-(methylsulfanyl)benzene; acetyl chloride; aluminium trichloride,CSc1cccc(Cl)c1C; CC(=O)Cl; [Cl][Al]([Cl])[Cl],1-[2-chloro-3-methyl-4-(methylsulfanyl)phenyl]ethan-1-one,CSc1ccc(C(C)=O)c(Cl)c1C,name_parsed; patent_drawing
Background_Scheme A Step 3,Background,Scheme A Step 3,oxidation,,CSc1ccc(C(C)=O)c(Cl)c1C.OO>>CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,3/3,1-[2-chloro-3-methyl-4-(methylsulfanyl)phenyl]ethan-1-one; H2O2,CSc1ccc(C(C)=O)c(Cl)c1C; OO,1-[2-chloro-4-(methanesulfonyl)-3-methylphenyl]ethan-1-one,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,name_parsed; patent_drawing
Background_Scheme A Step 4,Background,Scheme A Step 4,oxidation,haloform reaction,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl.[Na+].[O-]Cl>>Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl,3/3,1-[2-chloro-4-(methanesulfonyl)-3-methylphenyl]ethan-1-one; sodium hypochlorite,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl; [Na+].[O-]Cl,2-chloro-4-(methanesulfonyl)-3-methylbenzoic acid,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl,name_parsed; patent_drawing
Background_Scheme A Step 5,Background,Scheme A Step 5,ester_formation,,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl.CO>>COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,3/3,2-chloro-4-(methanesulfonyl)-3-methylbenzoic acid; CH3OH,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl; CO,methyl 2-chloro-4-(methanesulfonyl)-3-methylbenzoate,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,name_parsed; patent_drawing
Background_Scheme A Step 6,Background,Scheme A Step 6,halogenation,Wohl-Ziegler bromination,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl.O=C1CCC(=O)N1Br>>COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,3/3,methyl 2-chloro-4-(methanesulfonyl)-3-methylbenzoate; NBS,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl; O=C1CCC(=O)N1Br,methyl 3-(bromomethyl)-2-chloro-4-(methanesulfonyl)benzoate,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,name_parsed; patent_drawing
Background_Scheme A Step 7,Background,Scheme A Step 7,nucleophilic_substitution,Williamson ether synthesis,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl.[Na+].[O-]CC(F)(F)F>>COC(=O)c1ccc(S(C)(=O)=O)c(COCC(F)(F)F)c1Cl,3/3,methyl 3-(bromomethyl)-2-chloro-4-(methanesulfonyl)benzoate; CF3CH2ONa,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; [Na+].[O-]CC(F)(F)F,"methyl 2-chloro-4-(methanesulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoate",COC(=O)c1ccc(S(C)(=O)=O)c(COCC(F)(F)F)c1Cl,name_parsed; patent_drawing
Background_Scheme A Step 8,Background,Scheme A Step 8,hydrolysis,,COC(=O)c1ccc(S(C)(=O)=O)c(COCC(F)(F)F)c1Cl.[Na+].[OH-]>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,3/3,"methyl 2-chloro-4-(methanesulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoate; NaOH",COC(=O)c1ccc(S(C)(=O)=O)c(COCC(F)(F)F)c1Cl; [Na+].[OH-],"2-chloro-4-(methanesulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoic acid",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Background_Scheme A Step 9,Background,Scheme A Step 9,halogenation,,,2/3,"2-chloro-4-(methanesulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoic acid; (COCl)2",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; ,"2-chloro-4-(methanesulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoyl chloride",CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F,none; patent_drawing
Background_Scheme A Step 10,Background,Scheme A Step 10,ester_formation,,CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F.O=C1CCCC(=O)C1>>CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,3/3,"2-chloro-4-(methanesulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoyl chloride; cyclohexane-1,3-dione",CS(=O)(=O)c1ccc(C(=O)Cl)c(Cl)c1COCC(F)(F)F; O=C1CCCC(=O)C1,"3-oxocyclohex-1-en-1-yl 2-chloro-4-(methanesulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoate",CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,patent_drawing
